"filename", "language", "TypeScript", "JSON with Comments", "Markdown", "JSON", "Inno Setup", "PostCSS", "HTML", "JavaScript", "Batch", "XML", "PowerShell", "TypeScript JSX", "SCSS", "comment", "blank", "total"
"d:\JavaScript\zapret-gui\public\mainwindowr\src\Components\button\dcloader\dcloader.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 3, 41
"d:\JavaScript\zapret-gui\public\mainwindowr\src\Components\button\dcloader\dcloader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 2, 11
"d:\JavaScript\zapret-gui\public\mainwindowr\src\Components\checkbox\checkbox.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 10, 10, 68
"d:\JavaScript\zapret-gui\public\mainwindowr\src\Components\checkbox\checkbox.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 2, 25
"d:\JavaScript\zapret-gui\public\mainwindowr\src\Components\choicesBase\choicesBase.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 78, 8, 12, 98
"d:\JavaScript\zapret-gui\public\mainwindowr\src\Components\choicesBase\choicesBase.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 0, 2, 7, 61
"d:\JavaScript\zapret-gui\public\mainwindowr\src\Components\header\close.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 1, 7
"d:\JavaScript\zapret-gui\public\mainwindowr\src\Components\header\collapse.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6
"d:\JavaScript\zapret-gui\public\mainwindowr\src\Components\header\header.css", "PostCSS", 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 7, 60
"d:\JavaScript\zapret-gui\public\mainwindowr\src\Components\header\header.module.css", "PostCSS", 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 9, 70
"d:\JavaScript\zapret-gui\public\mainwindowr\src\Components\header\header.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 0, 3, 64
